,address,area,bedrooms,bathrooms,price,floors,street,street_Ao Sen,street_Biên Giang,street_Bà Triệu,street_Bạch Thái Bưởi,street_Bắc,street_Bế Văn Đàn,street_Chiến Thắng,street_Chợ,street_Cầu Am,street_Cầu Đơ 1,street_Dương Nội,street_Hoàng Hoa Thám,street_Hà Trì,street_Kiến Hưng,street_Làng Việt Kiều Châu Âu,street_Lê Hồng Phong,street_Lê Quý Đôn,street_Lê Trọng Tấn,street_Lụa,street_Mậu Lương,street_Mỗ Lao,street_Nguyễn Khuyến,street_Nguyễn Thái Học,street_Nguyễn Trãi,street_Nguyễn Viết Xuân,street_Nguyễn Văn Lộc,street_Nguyễn Văn Trỗi,street_Ngô Quyền,street_Ngô Thì Nhậm,street_Nhuệ Giang,street_Phan Chu Trinh,street_Phan Đình Giót,street_Phùng Hưng,street_Phú Lãm,street_Phú Lương,street_Quang Trung,street_Thanh Bình,street_Thanh Lãm,street_Trần Phú,street_Trần Đăng Ninh,street_Tô Hiệu,street_Văn Khê,street_Văn Phú,street_Văn Quán,street_Văn Yên,street_Vạn Phúc,street_Xa La,street_Xốm,street_Yên Nghĩa,street_Yên Phúc,street_Yết Kiêu,street_Đa Sỹ,street_Đại An,street_Đất
31,"Quận Hà Đông, Hà Nội",1052.0,6,7,45000000000.0,45.0,Nguyễn Văn Lộc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,"Quận Hà Đông, Hà Nội",1002.0,4,4,26500000000.0,5.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,"Quận Hà Đông, Hà Nội",1052.0,9,9,21000000000.0,21.0,Nguyễn Văn Lộc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,"Quận Hà Đông, Hà Nội",952.0,6,7,32000000000.0,4.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,"Quận Hà Đông, Hà Nội",1252.0,6,6,19800000000.0,6.0,Phùng Hưng,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,"Quận Hà Đông, Hà Nội",592.0,4,2,12500000000.0,3.0,Vạn Phúc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,"Quận Hà Đông, Hà Nội",602.0,10,8,16000000000.0,16.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,"Quận Hà Đông, Hà Nội",1302.0,1,1,7000000000.0,7.0,Ngô Quyền,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,"Quận Hà Đông, Hà Nội",472.0,5,4,13500000000.0,6.0,Phan Đình Giót,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,"Quận Hà Đông, Hà Nội",522.0,7,5,13000000000.0,5.0,Lụa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
